"Reference","Value","MPN","Footprint","Datasheet","Qty","DNP"
"C2,C3,C5","1u","GCM155C71A105KE38D","Capacitor_SMD:C_0402_1005Metric","~","3",""
"C4","1n","KGM05AR71A102KH","Capacitor_SMD:C_0402_1005Metric","~","1",""
"C6","22u","GRM21BZ71A226ME15L","Capacitor_SMD:C_0805_2012Metric","~","1",""
"D1,D3,D5,D7,D9,D11,D13,D15,D17,D19","LED_BGRA","IN-P32TRRRGB","woodpecker:LED_Inolux_IN-PI32TRRRGB_PLCC4_3.2x2.8mm_P1.5mm","~","10",""
"D2,D4,D6,D8,D10,D12,D14,D16,D18,D20","1N4148W","1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","10",""
"J1","Micro-MaTch 2x06","1-215079-2","Connector_TE-Connectivity:TE_Micro-MaTch_1-215079-2_2x06_P1.27mm_Vertical","~","1",""
"R1,R2","33k","RC0603FR-0733KL","Resistor_SMD:R_0603_1608Metric","~","2",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10","SW_Push","1528-5118-ND","woodpecker:SW_Hotswap_Kailh_MX_1.00u","~","10",""
"U2","LP5864","LP5864RSMR","woodpecker:Texas_LP586X_VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias","https://www.ti.com/lit/ds/symlink/lp5864.pdf","1",""
